,date,symbol,prev,open,high,low,last,close,avg,changed,p_change,volume,qpt,delivery,p_delivery,QPT_RATIO_20,DEL_RATIO_20,DEL_P_RATIO_20,VOL_RATIO_20
2873,2022-11-24 18:30:00+00:00,gail,92.1000,92.5,93.85,91.75,93.2000,93.25,93.0800,1.1500,1.2332,12249200.0000,330.6930,6663134.0000,54.4000,,,,
3074,2022-11-27 18:30:00+00:00,gail,93.2500,93.3,93.8,92.45,92.5000,92.75,93.0500,-0.5000,-0.5391,11371642.0000,278.6552,6246188.0000,54.9300,,,,
3255,2022-11-28 18:30:00+00:00,gail,92.7500,93.0,94.65,92.05,94.2500,94.15,93.5600,1.4000,1.4870,18484964.0000,346.5173,9898150.0000,53.5500,,,,
3480,2022-11-29 18:30:00+00:00,gail,94.1500,94.5,94.95,93.8,94.7000,94.75,94.4900,0.6000,0.6332,18501717.0000,385.2999,12852352.0000,69.4700,,,,
3692,2022-11-30 18:30:00+00:00,gail,94.7500,95.25,95.4,93.5,93.6500,93.65,94.0700,-1.1000,-1.1746,9433858.0000,294.1096,6192757.0000,65.6400,1.0,0.95,1.18,0.81
3891,2022-12-01 18:30:00+00:00,gail,93.6500,94.0,94.15,93.05,93.2500,93.2,93.3800,-0.4500,-0.4828,9494016.0000,302.8201,6238063.0000,65.7100,1.06,0.98,1.19,0.83
4073,2022-12-04 18:30:00+00:00,gail,93.2000,93.5,93.9,92.65,93.2000,93.15,93.1000,-0.0500,-0.0537,15148621.0000,411.8376,10976500.0000,72.4600,1.41,1.67,1.28,1.31
4192,2022-12-05 18:30:00+00:00,gail,93.1500,93.5,93.5,92.2,92.8000,93.0,92.9300,-0.1500,-0.1613,9031442.0000,328.4638,5395519.0000,59.7400,1.11,0.82,1.04,0.8
4399,2022-12-06 18:30:00+00:00,gail,93.0000,92.8,94.05,92.8,93.2000,93.25,93.3600,0.2500,0.2681,11134858.0000,279.0831,6252111.0000,56.1500,0.94,0.96,0.99,0.99
4637,2022-12-07 18:30:00+00:00,gail,93.2500,93.25,93.45,92.45,92.6000,92.55,92.7600,-0.7000,-0.7563,10614975.0000,279.0771,6926549.0000,65.2500,0.93,1.05,1.14,0.93
4874,2022-12-08 18:30:00+00:00,gail,92.5500,93.05,93.6,90.3,90.9500,90.85,92.1200,-1.7000,-1.8712,15835417.0000,233.4333,9773079.0000,61.7200,0.78,1.42,1.07,1.34
4991,2022-12-11 18:30:00+00:00,gail,90.8500,91.1,93.4,90.2,93.1000,92.8,92.2100,1.9500,2.1013,15920076.0000,316.2699,9614864.0000,60.3900,1.05,1.35,1.05,1.3
65,2022-11-02 18:30:00+00:00,glenmark,417.9000,417.9,426.9,417.3,423.4000,422.85,422.5800,4.9500,1.1706,1239625.0000,52.4243,385751.0000,31.1200,,,,
358,2022-11-03 18:30:00+00:00,glenmark,422.8500,426.95,426.95,418.1,420.2000,421.35,420.9400,-1.5000,-0.3560,609811.0000,40.6053,158900.0000,26.0600,,,,
379,2022-11-06 18:30:00+00:00,glenmark,421.3500,421.35,425.7,418.15,421.2500,423.0,422.7900,1.6500,0.3901,797594.0000,46.0292,203557.0000,25.5200,,,,
599,2022-11-08 18:30:00+00:00,glenmark,423.0000,424.0,427.7,418.1,420.0000,420.55,423.4700,-2.4500,-0.5826,687137.0000,41.5163,249223.0000,36.2700,,,,
882,2022-11-09 18:30:00+00:00,glenmark,420.5500,420.0,431.15,411.55,414.0000,415.55,422.6100,-5.0000,-1.2032,1782821.0000,63.5655,376463.0000,21.1200,,,,
1068,2022-11-10 18:30:00+00:00,glenmark,415.5500,417.65,422.0,410.0,413.2000,413.6,416.6200,-1.9500,-0.4715,530017.0000,55.0953,134649.0000,25.4000,,,,
1143,2022-11-13 18:30:00+00:00,glenmark,413.6000,416.0,434.85,416.0,429.7000,430.5,428.9900,16.9000,3.9257,3100084.0000,70.0204,554936.0000,17.9000,,,,
1461,2022-11-14 18:30:00+00:00,glenmark,430.5000,432.7,435.8,424.25,433.7000,435.1,430.8900,4.6000,1.0572,1111218.0000,63.1374,232652.0000,20.9400,,,,
1666,2022-11-15 18:30:00+00:00,glenmark,435.1000,432.0,437.0,426.05,427.4000,429.5,431.6800,-5.6000,-1.3038,954048.0000,42.5136,359088.0000,37.6400,,,,
1755,2022-11-16 18:30:00+00:00,glenmark,429.5000,426.2,433.5,425.4,428.9500,429.3,428.8900,-0.2000,-0.0466,554310.0000,29.4454,238748.0000,43.0700,,,,
2042,2022-11-17 18:30:00+00:00,glenmark,429.3000,431.65,431.65,407.3,408.8500,409.85,415.5200,-19.4500,-4.7456,2407915.0000,68.2322,498540.0000,20.7000,,,,
2125,2022-11-20 18:30:00+00:00,glenmark,409.8500,409.85,413.6,406.0,411.4000,411.65,409.7900,1.8000,0.4373,525086.0000,39.3706,81489.0000,15.5200,,,,
2423,2022-11-21 18:30:00+00:00,glenmark,411.6500,413.75,423.85,412.05,422.7000,422.4,418.7500,10.7500,2.5450,1264704.0000,46.9069,444033.0000,35.1100,,,,
2611,2022-11-22 18:30:00+00:00,glenmark,422.4000,423.95,426.5,417.2,425.1000,425.4,422.6200,3.0000,0.7052,742405.0000,58.8463,258123.0000,34.7700,,,,
2780,2022-11-23 18:30:00+00:00,glenmark,425.4000,423.0,425.85,401.15,418.0500,419.95,421.1300,-5.4500,-1.2978,861535.0000,65.1740,215671.0000,25.0300,,,,
3008,2022-11-24 18:30:00+00:00,glenmark,419.9500,419.1,428.5,419.1,426.9500,426.35,425.4800,6.4000,1.5011,693262.0000,56.6391,161084.0000,23.2400,,,,
3101,2022-11-27 18:30:00+00:00,glenmark,426.3500,425.55,433.3,423.5,431.1500,432.3,431.0900,5.9500,1.3764,617233.0000,29.7706,273274.0000,44.2700,,,,
3340,2022-11-28 18:30:00+00:00,glenmark,432.3000,431.9,444.0,430.5,437.0000,438.3,439.6100,6.0000,1.3689,1794039.0000,45.9127,461720.0000,25.7400,,,,
3444,2022-11-29 18:30:00+00:00,glenmark,438.3000,439.5,441.55,427.35,431.1500,430.7,432.2400,-7.6000,-1.7646,816785.0000,52.9589,238138.0000,29.1600,,,,
3617,2022-11-30 18:30:00+00:00,glenmark,430.7000,436.0,436.0,427.75,429.0000,430.7,430.7200,0.0000,0.0000,511155.0000,68.9818,94917.0000,18.5700,1.33,0.34,0.67,0.47
3901,2022-12-01 18:30:00+00:00,glenmark,430.7000,430.7,436.5,426.55,434.0000,434.95,432.4700,4.2500,0.9771,527052.0000,52.4273,166164.0000,31.5300,1.01,0.62,1.13,0.5
3977,2022-12-04 18:30:00+00:00,glenmark,434.9500,434.95,439.4,431.0,434.5500,435.8,435.6900,0.8500,0.1950,955377.0000,62.9614,297212.0000,31.1100,1.19,1.07,1.11,0.9
4233,2022-12-05 18:30:00+00:00,glenmark,435.8000,435.75,437.0,424.0,424.5000,425.15,427.0000,-10.6500,-2.5050,830364.0000,65.9019,388585.0000,46.8000,1.22,1.36,1.6,0.78
